definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,checkpoint_role,ood_dataset,endpoint,ood_artifact_key,performance_transform,geometry_name,geometry_artifact_key,geometry_formula_id,geometry_direction,geometry_fit_split,geometry_transform,geometry_statistic,geometry_query_split,detector,ood_formula_id,ood_direction,ood_fit_split,ood_query_split,ood_transform,config_mean_spearman_rho,seed_level_clustered_rho,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,permutation_pvalue,bh_fdr_qvalue,config_count,seed_observation_count,resamples,random_seed,analysis_dtype,rank_tie_method,bootstrap_ci_method,permutation_pvalue_rule,bh_fdr_scope,interpretation
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/ctm_prototype_cosine,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.21212121212121213,-0.20578420467185762,-0.7132056054357191,0.44248380612016974,0.5656434356564344,0.8406136829926031,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/knn_l2_k50,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.5878787878787879,-0.6111234705228031,-0.8790593505039194,0.05360524247351697,0.08609139086091391,0.3620209407630665,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/mahalanobis_pp,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.503030303030303,-0.4513904338153504,-0.8382899765131631,0.2087306458599075,0.13788621137886212,0.4169888095936169,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/mahalanobis_raw,OOD-1,up,id_train,id_test_vs_places365,detector_declared,0.28484848484848485,0.3076751946607342,-0.5851087687822382,0.8105906179201633,0.4323567643235676,0.760947905209479,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/neco_author_std_dim100,OOD-1,up,id_train,id_test_vs_places365,detector_declared,0.6484848484848484,0.539043381535039,-0.06626367672365135,0.8369565744480882,0.050994900509949,0.3503149685031497,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/relative_mahalanobis_pp,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.45454545454545453,-0.4745272525027809,-0.8380853940223143,0.3801082311708499,0.1952804719528047,0.5028068621709257,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/relative_mahalanobis_raw,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.5151515151515151,-0.5159065628476085,-0.788729833310117,0.20618556701030927,0.1342865713428657,0.4149479788863219,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,detector/vim_author_dim,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.6848484848484848,-0.6734149054505005,-0.9266887560909587,0.014557470324515214,0.03469653034696531,0.3392549633925497,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,ood_score/energy_t1,OOD-1,up,,id_test_vs_places365,detector_declared,-0.18787878787878787,-0.14304783092324805,-0.7466880702380774,0.6756865274821998,0.6092390760923908,0.8406136829926031,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,ood_score/max_logit,OOD-1,up,,id_test_vs_places365,detector_declared,-0.18787878787878787,-0.15951056729699667,-0.7503385448970372,0.6491100953209714,0.6092390760923908,0.8406136829926031,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm mean,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,mean,,ood_score/msp,OOD-1,up,,id_test_vs_places365,detector_declared,-0.17575757575757575,-0.0878754171301446,-0.6457729199196967,0.5194186885120756,0.6345365463453655,0.8406136829926031,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm CV,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,cv,,detector/ctm_prototype_cosine,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.296969696969697,-0.20311457174638486,-0.7258136424431565,0.5360327403201214,0.40715928407159285,0.7387705673877056,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm CV,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,cv,,detector/knn_l2_k50,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.09090909090909091,0.0660734149054505,-0.5528405151648516,0.6225199247652207,0.8125187481251874,0.9192824307312858,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm CV,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,cv,,detector/mahalanobis_pp,OOD-1,up,id_train,id_test_vs_places365,detector_declared,0.7333333333333333,0.6133481646273637,0.05972242816279139,0.8649979042796014,0.023997600239976002,0.3392549633925497,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,last,places365,auroc,ood_metric/auroc_id_positive,identity,Feature norm CV,geometry/feature_norm/global,GEO-1,descriptive,id_train,raw_feature,cv,,detector/mahalanobis_raw,OOD-1,up,id_train,id_test_vs_places365,detector_declared,-0.793939393939394,-0.8077864293659622,-0.9219272808387241,-0.3852661205894529,0.011998800119988001,0.3392549633925497,10,30,10000,20260805,float64,average,percentile_2.5_97.5,(extreme+1)/(resamples+1),dataset_checkpoint_endpoint_16x11,exploratory_association_not_causal
