role,optimizer_a,optimizer_b,delta_definition,config_hash_a,config_hash_b,lr_a,weight_decay_a,lr_b,weight_decay_b,checkpoint_role,definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,analysis_dtype,metric_name,artifact_key,formula_id,reporting_tier,direction,fit_split,query_split,transform,detector,ood_dataset,seed0_delta,seed1_delta,seed2_delta,mean_delta,sample_sd_delta_ddof1,formatted_delta
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,auroc,ood_metric/auroc_id_positive,OOD-1,primary,up,id_train,id_test_vs_tin,detector_declared,detector/ctm_prototype_cosine,tin,0.022757590145002005,0.02487468240728863,0.02537016553317073,0.02433414602848712,0.001387631875650789,0.024334 ± 0.001388
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,fpr95,ood_metric/fpr95_id_tpr,OOD-4,primary,down,id_train,id_test_vs_tin,detector_declared,detector/ctm_prototype_cosine,tin,-0.0868728345951495,-0.10316951109970485,-0.10419607339920445,-0.09807947303135293,0.009718797061289664,-0.098079 ± 0.009719
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,aupr_in,ood_metric/aupr_in_openood_auc,OOD-2,primary,up,id_train,id_test_vs_tin,detector_declared,detector/ctm_prototype_cosine,tin,0.01616430083128173,0.014531074250131781,0.016000057918251542,0.015565144333221684,0.0008992884054497368,0.015565 ± 0.000899
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,aupr_out,ood_metric/aupr_out_openood_auc,OOD-3,primary,up,id_train,id_test_vs_tin,detector_declared,detector/ctm_prototype_cosine,tin,0.0325189352797971,0.04150925286802032,0.04247282591591417,0.038833671354577194,0.005489903189060233,0.038834 ± 0.005490
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,auroc,ood_metric/auroc_id_positive,OOD-1,primary,up,id_train,id_test_vs_tin,detector_declared,detector/knn_l2_k50,tin,0.020603310663415808,0.020279853714872065,0.01856031053509566,0.01981449163779451,0.0010981273961455876,0.019814 ± 0.001098
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,fpr95,ood_metric/fpr95_id_tpr,OOD-4,primary,down,id_train,id_test_vs_tin,detector_declared,detector/knn_l2_k50,tin,-0.07853201591171566,-0.09470037212883353,-0.10291287052483,-0.09204841952179306,0.012404884416589552,-0.092048 ± 0.012405
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,aupr_in,ood_metric/aupr_in_openood_auc,OOD-2,primary,up,id_train,id_test_vs_tin,detector_declared,detector/knn_l2_k50,tin,0.013796388780849655,0.012719376720706888,0.011482162539885321,0.012665976013813954,0.0011580369166026086,0.012666 ± 0.001158
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,aupr_out,ood_metric/aupr_out_openood_auc,OOD-3,primary,up,id_train,id_test_vs_tin,detector_declared,detector/knn_l2_k50,tin,0.0311396233519029,0.03286412547585271,0.03158222545717648,0.0318619914283107,0.0008956442613171571,0.031862 ± 0.000896
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,auroc,ood_metric/auroc_id_positive,OOD-1,primary,up,id_train,id_test_vs_tin,detector_declared,detector/mahalanobis_pp,tin,0.007209547029385366,0.01780383677659436,0.020915719235211183,0.015309701013730304,0.00718542441590169,0.015310 ± 0.007185
C1,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,0.1,0.0005,0.0003,0.0,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,fpr95,ood_metric/fpr95_id_tpr,OOD-4,primary,down,id_train,id_test_vs_tin,detector_declared,detector/mahalanobis_pp,tin,-0.06146541768253566,-0.09457205184139617,-0.13152829462338,-0.09585525471577061,0.03504906045130991,-0.095855 ± 0.035049
