detector,paper_panel,association_panel
detector/ctm_prototype_cosine,canonical_main,True
detector/gda_class_density,exhaustive_appendix,False
detector/knn_l2_k50,canonical_main,True
detector/mahalanobis_pp,canonical_main,True
detector/mahalanobis_raw,canonical_main,True
detector/marginal_mahalanobis_raw,exhaustive_appendix,False
detector/ncp_euclidean_raw,exhaustive_appendix,False
detector/neco_author_std_dim100,canonical_main,True
detector/relative_mahalanobis_pp,canonical_main,True
detector/relative_mahalanobis_raw,canonical_main,True
detector/vim_author_dim,canonical_main,True
detector/vim_dim128,exhaustive_appendix,False
detector/vim_dim256,exhaustive_appendix,False
detector/vim_dim320,exhaustive_appendix,False
detector/vim_dim64,exhaustive_appendix,False
detector/weight_cosine_appendix,exhaustive_appendix,False
ood_score/energy_t1,canonical_main,True
ood_score/max_logit,canonical_main,True
ood_score/msp,canonical_main,True
