definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,config_hash,checkpoint_role,artifact_key,formula_id,reporting_tier,direction,fit_split,query_split,transform,detector,ood_dataset,ood_group,class_index,statistic,quantile_probability,sample_count,role,optimizer,lr,weight_decay,value,training_seed,checkpoint_sha256,completed_epoch
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/accuracy,ID-1,primary,up,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.9539,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/augrc_msp_raw,ID-6,primary,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.003796815000000002,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/aurc_msp_raw,ID-7,appendix,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.004706042535618482,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_raw_m10,ID-3,appendix,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.0312067928793646,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_raw_m15,ID-3,primary,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.031206792879364634,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_raw_m30,ID-3,appendix,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.03142114131074793,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_ts_m15,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.010072355110820934,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/misclassification_auroc_msp_raw,ID-5,primary,up,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.9378232391786294,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/nll_raw,ID-2,primary,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.21344701330746083,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/nll_ts,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.15309679844834564,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/temperature,ID-4,control,descriptive,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C1,sgd,0.1,0.0005,1.8127555741154242,0,e8e42ed60d71a3d0f0a1486171bf165e80d43f9c2ccc63afff94b6738f6a3347,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,last,id/accuracy,ID-1,primary,up,,id_test,raw_logits,,,,,,,10000,C1,adam,0.0003,0.0,0.9402,0,09442d81872d37e49f213f59d4687b6e86e375282e92a87346ad77f88c731cf0,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,last,id/augrc_msp_raw,ID-6,primary,down,,id_test,raw_logits,,,,,,,10000,C1,adam,0.0003,0.0,0.005612739999999997,0,09442d81872d37e49f213f59d4687b6e86e375282e92a87346ad77f88c731cf0,200
