definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,config_hash,checkpoint_role,artifact_key,formula_id,reporting_tier,direction,fit_split,query_split,transform,detector,ood_dataset,ood_group,class_index,statistic,quantile_probability,sample_count,role,optimizer,lr,weight_decay,mean,sample_sd_ddof1,formatted,seed0,seed1,seed2
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/accuracy,ID-1,primary,up,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.9541333333333334,0.0012662279942148686,0.954133 ± 0.001266,0.9539,0.9555,0.953
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/augrc_msp_raw,ID-6,primary,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.0038021066666666693,5.2099441535716664e-05,0.003802 ± 0.000052,0.003796815000000002,0.0037528550000000016,0.0038566500000000057
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/aurc_msp_raw,ID-7,appendix,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.004663546634643191,4.877119902775826e-05,0.004664 ± 0.000049,0.004706042535618482,0.004610295502207044,0.004674301866104045
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_raw_m10,ID-3,appendix,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.031465303194675415,0.0010015016489793023,0.031465 ± 0.001002,0.0312067928793646,0.03061840013484418,0.03257071656981746
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_raw_m15,ID-3,primary,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.03139490521655027,0.0010939533665201148,0.031395 ± 0.001094,0.031206792879364634,0.03040720620046885,0.03257071656981734
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_raw_m30,ID-3,appendix,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.031580342433063756,0.0009211499628253429,0.031580 ± 0.000921,0.03142114131074793,0.030749169418626078,0.03257071656981725
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/ece_ts_m15,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.009435838401804252,0.0005586341272362511,0.009436 ± 0.000559,0.010072355110820934,0.009208172251540737,0.009026987843051082
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/misclassification_auroc_msp_raw,ID-5,primary,up,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.9371345861410593,0.0018634890306008954,0.937135 ± 0.001863,0.9378232391786294,0.9350247826010265,0.9385557366435221
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/nll_raw,ID-2,primary,down,,id_test,raw_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.20939284801589994,0.005827092268739793,0.209393 ± 0.005827,0.21344701330746083,0.20271519420628012,0.21201633653395888
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/nll_ts,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C1,sgd,0.1,0.0005,0.15153763557602073,0.0028018263304358817,0.151538 ± 0.002802,0.15309679844834564,0.1483030614435155,0.15321304683620107
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,last,id/temperature,ID-4,control,descriptive,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C1,sgd,0.1,0.0005,1.8123488333668052,0.0099803517354613,1.812349 ± 0.009980,1.8127555741154242,1.8021713293340729,1.8221195966509187
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,last,id/accuracy,ID-1,primary,up,,id_test,raw_logits,,,,,,,10000,C1,adam,0.0003,0.0,0.9385333333333333,0.001650252505931582,0.938533 ± 0.001650,0.9402,0.9369,0.9385
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,last,id/augrc_msp_raw,ID-6,primary,down,,id_test,raw_logits,,,,,,,10000,C1,adam,0.0003,0.0,0.005838373333333333,0.00020046733832057218,0.005838 ± 0.000200,0.005612739999999997,0.005995960000000007,0.0059064199999999956
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,last,id/aurc_msp_raw,ID-7,appendix,down,,id_test,raw_logits,,,,,,,10000,C1,adam,0.0003,0.0,0.0066787015067695165,0.00018424530164870301,0.006679 ± 0.000184,0.006478469201646754,0.006841080000826703,0.006716555317835092
