definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,role,optimizer,lr,weight_decay,config_hash,detector,ood_dataset,checkpoint_role,auroc_mean,auroc_sample_sd,auroc_artifact_key,auroc_formula_id,auroc_direction,auroc_fit_split,auroc_query_split,auroc_transform,fpr95_mean,fpr95_sample_sd,fpr95_artifact_key,fpr95_formula_id,fpr95_direction,fpr95_fit_split,fpr95_query_split,fpr95_transform,aupr_in_mean,aupr_in_sample_sd,aupr_in_artifact_key,aupr_in_formula_id,aupr_in_direction,aupr_in_fit_split,aupr_in_query_split,aupr_in_transform,aupr_out_mean,aupr_out_sample_sd,aupr_out_artifact_key,aupr_out_formula_id,aupr_out_direction,aupr_out_fit_split,aupr_out_query_split,aupr_out_transform
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/ctm_prototype_cosine,cifar100,last,0.8952888351851852,0.0010973496053388765,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.5306666666666667,0.003044931023565487,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.901981979234312,0.0027677040035770967,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8714095699003828,3.789948433206781e-05,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/knn_l2_k50,cifar100,last,0.905049938888889,0.001195257164074488,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.4828148148148148,0.003843116876326159,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.9140633293387328,0.0027041847270016265,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8833249791132562,0.0006345763196740105,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/mahalanobis_pp,cifar100,last,0.886442024074074,0.002861424009585677,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.5090740740740741,0.01229289332653011,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.8912239176803053,0.005118449330715749,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8665309802803999,0.0029573871195223205,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/mahalanobis_raw,cifar100,last,0.8724199203703705,0.0002912979778387978,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.5748148148148148,0.008654074422792183,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.8854811749503085,0.0004530913751433102,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8456695443120977,0.0020126045514299623,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/neco_author_std_dim100,cifar100,last,0.880001912962963,0.006257253951810571,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.5192222222222223,0.01833737329224828,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.8857017262113684,0.007317217538059526,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8607890348276729,0.0071414496719646135,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/relative_mahalanobis_pp,cifar100,last,0.8995989425925925,0.000809313640337447,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.5337037037037038,0.003035455776246374,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.9088415229044192,0.0017313664099685231,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8704317314684932,0.002453964621401546,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/relative_mahalanobis_raw,cifar100,last,0.8971513648148147,0.0008601933518888309,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.5225185185185185,0.004283665981222504,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.9038741800397657,0.0028274182149937406,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8709257328538939,0.0008490467443391441,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/vim_author_dim,cifar100,last,0.898374038888889,0.001798328562894918,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_cifar100,detector_declared,0.4689259259259259,0.012835297268356445,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_cifar100,detector_declared,0.9014068669446272,0.003927205203123099,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_cifar100,detector_declared,0.8815286772367923,0.0019974985335920073,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,ood_score/energy_t1,cifar100,last,0.8698777018518519,0.0039718084223522585,ood_metric/auroc_id_positive,OOD-1,up,,id_test_vs_cifar100,detector_declared,0.47885185185185186,0.006120531459750398,ood_metric/fpr95_id_tpr,OOD-4,down,,id_test_vs_cifar100,detector_declared,0.8542432550955253,0.0072691374752439225,ood_metric/aupr_in_openood_auc,OOD-2,up,,id_test_vs_cifar100,detector_declared,0.8617923734537305,0.002792151371539004,ood_metric/aupr_out_openood_auc,OOD-3,up,,id_test_vs_cifar100,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,ood_score/max_logit,cifar100,last,0.8695276981481482,0.003941132232727472,ood_metric/auroc_id_positive,OOD-1,up,,id_test_vs_cifar100,detector_declared,0.4830370370370371,0.0016679007776589292,ood_metric/fpr95_id_tpr,OOD-4,down,,id_test_vs_cifar100,detector_declared,0.8541214091817876,0.0072420992979102955,ood_metric/aupr_in_openood_auc,OOD-2,up,,id_test_vs_cifar100,detector_declared,0.8607272990089122,0.0024080342075669435,ood_metric/aupr_out_openood_auc,OOD-3,up,,id_test_vs_cifar100,detector_declared
