definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,role,optimizer,lr,weight_decay,config_hash,detector,ood_dataset,checkpoint_role,auroc_mean,auroc_sample_sd,auroc_artifact_key,auroc_formula_id,auroc_direction,auroc_fit_split,auroc_query_split,auroc_transform,fpr95_mean,fpr95_sample_sd,fpr95_artifact_key,fpr95_formula_id,fpr95_direction,fpr95_fit_split,fpr95_query_split,fpr95_transform,aupr_in_mean,aupr_in_sample_sd,aupr_in_artifact_key,aupr_in_formula_id,aupr_in_direction,aupr_in_fit_split,aupr_in_query_split,aupr_in_transform,aupr_out_mean,aupr_out_sample_sd,aupr_out_artifact_key,aupr_out_formula_id,aupr_out_direction,aupr_out_fit_split,aupr_out_query_split,aupr_out_transform
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/ctm_prototype_cosine,mnist,last,0.9364989128571427,0.0035521419384629757,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.4221809523809524,0.021402538154522303,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.8206337012739321,0.009576124924697099,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.9872705636845103,0.0008291461429832757,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/knn_l2_k50,mnist,last,0.9485948966666666,0.0027299214260705883,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.34431428571428574,0.01900823129969901,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.8615124439353924,0.010386192559406267,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.9897784791237098,0.0004407166532290087,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/mahalanobis_pp,mnist,last,0.9560474661904762,0.008472767910084543,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.264,0.05742534283746157,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.8638074433986295,0.022012330856065652,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.9916026299255972,0.0020172520782865497,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/mahalanobis_raw,mnist,last,0.9139871199999999,0.017837156661447365,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.5364476190476191,0.08659392014918095,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.7865825942384582,0.04102172544664316,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.9790376148343337,0.005232085450424602,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/neco_author_std_dim100,mnist,last,0.961735780952381,0.004277346332246074,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.21064285714285713,0.020203409492014972,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.868462632306032,0.015127209452582953,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.9928653401895234,0.0010764638286138088,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/relative_mahalanobis_pp,mnist,last,0.9332298095238096,0.0031237424916505966,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.45900952380952376,0.014626822812156815,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.8204804382350023,0.007143973056800366,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.9854344856835557,0.0007687434588956162,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/relative_mahalanobis_raw,mnist,last,0.937251252857143,0.0009677076777041991,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.43603333333333333,0.003075058762781262,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.8269611902682849,0.008950054341479451,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.9862347421785779,0.00031385227795375364,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/vim_author_dim,mnist,last,0.9536274885714286,0.008055275893982231,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_mnist,detector_declared,0.28713809523809525,0.0493334185970949,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_mnist,detector_declared,0.8664368466404331,0.022191790049085777,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_mnist,detector_declared,0.990213975301583,0.002027103682921137,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,ood_score/energy_t1,mnist,last,0.9548919842857142,0.001569273445932236,ood_metric/auroc_id_positive,OOD-1,up,,id_test_vs_mnist,detector_declared,0.24349047619047623,0.009173590458744173,ood_metric/fpr95_id_tpr,OOD-4,down,,id_test_vs_mnist,detector_declared,0.832399011472574,0.005105419284695728,ood_metric/aupr_in_openood_auc,OOD-2,up,,id_test_vs_mnist,detector_declared,0.9916035768929549,0.00047148058513458833,ood_metric/aupr_out_openood_auc,OOD-3,up,,id_test_vs_mnist,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,ood_score/max_logit,mnist,last,0.9536857723809523,0.001652691915978259,ood_metric/auroc_id_positive,OOD-1,up,,id_test_vs_mnist,detector_declared,0.25486190476190473,0.014910456085588815,ood_metric/fpr95_id_tpr,OOD-4,down,,id_test_vs_mnist,detector_declared,0.831434022306314,0.00507204963662787,ood_metric/aupr_in_openood_auc,OOD-2,up,,id_test_vs_mnist,detector_declared,0.9912947642351405,0.00048078208729678603,ood_metric/aupr_out_openood_auc,OOD-3,up,,id_test_vs_mnist,detector_declared
