definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,role,optimizer,lr,weight_decay,config_hash,detector,ood_dataset,checkpoint_role,auroc_mean,auroc_sample_sd,auroc_artifact_key,auroc_formula_id,auroc_direction,auroc_fit_split,auroc_query_split,auroc_transform,fpr95_mean,fpr95_sample_sd,fpr95_artifact_key,fpr95_formula_id,fpr95_direction,fpr95_fit_split,fpr95_query_split,fpr95_transform,aupr_in_mean,aupr_in_sample_sd,aupr_in_artifact_key,aupr_in_formula_id,aupr_in_direction,aupr_in_fit_split,aupr_in_query_split,aupr_in_transform,aupr_out_mean,aupr_out_sample_sd,aupr_out_artifact_key,aupr_out_formula_id,aupr_out_direction,aupr_out_fit_split,aupr_out_query_split,aupr_out_transform
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/ctm_prototype_cosine,texture,last,0.937071914893617,0.0020630983629180808,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.3765366430260047,0.006544290773640792,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9647623120162402,0.0015675956922310478,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.8893762709401423,0.0015489796757089725,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/knn_l2_k50,texture,last,0.9449856323877069,0.0020323538329792873,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.3297281323877069,0.0030315174002912676,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9698072957194087,0.0016315152757019578,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.9015580053694369,0.001559530799541766,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/mahalanobis_pp,texture,last,0.966998510638298,0.0029117579151897773,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.1754728132387707,0.011084514972524271,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9799031382430398,0.0017965175983629968,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.9508001982501687,0.004291057999393414,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/mahalanobis_raw,texture,last,0.9611502482269505,0.0005373875319090429,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.21247044917257685,0.004423157740441528,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9774437544745432,0.0006865329019698546,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.9378975327849389,0.0019896461160923726,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/neco_author_std_dim100,texture,last,0.9644589066193853,0.002584768883100354,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.18315602836879433,0.014692795018013972,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9784632625694721,0.0016064616633314848,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.9458012025701513,0.003900883175918232,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/relative_mahalanobis_pp,texture,last,0.9264161702127659,0.00226398381762602,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.4601654846335697,0.005278608312394001,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9600245382374561,0.002123251937407821,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.8503189649788588,0.003598981535827114,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/relative_mahalanobis_raw,texture,last,0.9328745449172576,0.0020245530007519737,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.4144208037825059,0.013476732521924533,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9630589494373242,0.0015043932424324388,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.8670390929419622,0.003691691192781101,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,detector/vim_author_dim,texture,last,0.9642442966903073,0.0017086258869004802,ood_metric/auroc_id_positive,OOD-1,up,id_train,id_test_vs_texture,detector_declared,0.19007092198581563,0.00993382611902939,ood_metric/fpr95_id_tpr,OOD-4,down,id_train,id_test_vs_texture,detector_declared,0.9777891161847218,0.0011151633558682955,ood_metric/aupr_in_openood_auc,OOD-2,up,id_train,id_test_vs_texture,detector_declared,0.945638039130758,0.0017994150448690754,ood_metric/aupr_out_openood_auc,OOD-3,up,id_train,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,ood_score/energy_t1,texture,last,0.8994451063829788,0.0055817977127400826,ood_metric/auroc_id_positive,OOD-1,up,,id_test_vs_texture,detector_declared,0.3666666666666667,0.015206937335029497,ood_metric/fpr95_id_tpr,OOD-4,down,,id_test_vs_texture,detector_declared,0.9131145479916084,0.002523755363320361,ood_metric/aupr_in_openood_auc,OOD-2,up,,id_test_vs_texture,detector_declared,0.861229170207589,0.009527918144084548,ood_metric/aupr_out_openood_auc,OOD-3,up,,id_test_vs_texture,detector_declared
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,C1,sgd,0.1,0.0005,188f2e248d512bb338cd5c33c140337ac59206948aa209631ca797a09d4b9eb2,ood_score/max_logit,texture,last,0.8989567937352246,0.005589028667178848,ood_metric/auroc_id_positive,OOD-1,up,,id_test_vs_texture,detector_declared,0.3734633569739953,0.01821184672860499,ood_metric/fpr95_id_tpr,OOD-4,down,,id_test_vs_texture,detector_declared,0.9130182347720415,0.002541706441489721,ood_metric/aupr_in_openood_auc,OOD-2,up,,id_test_vs_texture,detector_declared,0.8587430383588602,0.009830572876003233,ood_metric/aupr_out_openood_auc,OOD-3,up,,id_test_vs_texture,detector_declared
